ControlType.Window|MainWindow|VPNRouter|252,55,520,640
  ControlType.Group|WindowChrome|WindowChrome|252,55,520,640
  ControlType.Image|Image||265,65,26,26
  ControlType.Text|TextBlock|Virtual Penguin Network|302,63,410,15
  ControlType.Button|Button|Avalonia.Controls.StackPanel|302,80,36,13
    ControlType.Text|TextBlock|VPN|314,81,19,11
  ControlType.Button|Button|Zapret|342,80,39,13
    ControlType.Text|TextBlock|Zapret|347,81,29,11
  ControlType.Button|Button|TG|385,80,23,13
    ControlType.Text|TextBlock|TG|390,81,13,11
  ControlType.Button|Button|⋯|732,64,28,28
  ControlType.Custom|SimplePage||252,102,520,593
    ControlType.Pane|ScrollViewer||252,102,520,593
      ControlType.Text|TextBlock|Не подключено|337,129,119,19
      ControlType.Text|TextBlock|Трафик идёт напрямую — выбери конфиг и запусти туннель.|337,156,370,15
      ControlType.Button|Button|Конфиг · Режим|302,200,420,43
        ControlType.Text|TextBlock|⚑|323,213,9,16
        ControlType.Text|TextBlock|Конфиг · Режим|349,209,336,11
        ControlType.Text|TextBlock|подписка · сплит|349,221,336,13
        ControlType.Text|TextBlock|▽|695,213,14,16
      ControlType.Text|TextBlock|Конфиг VPN|315,270,394,14
      ControlType.Edit|TextBox||315,288,394,32
      ControlType.Text|TextBlock|Приму ссылку сервера (vless / hysteria2 / tuic / ss / naive) или URL подписки (http/https).|315,324,394,11
      ControlType.Text|TextBlock|Что идёт через VPN|315,349,394,14
      ControlType.RadioButton|RadioButton|Выбранные приложения|315,367,164,32
      ControlType.Text|TextBlock|По списку выбранных приложений|339,400,370,11
      ControlType.RadioButton|RadioButton|Весь трафик|315,419,98,32
      ControlType.Text|TextBlock|Включая игры и банки|339,452,370,11
      ControlType.Button|Button|Avalonia.Controls.Grid|315,477,394,45
        ControlType.Text|TextBlock|Автозапуск|326,486,356,14
        ControlType.Text|TextBlock|Настроить автозапуск VPN при старте Windows|326,502,356,11
        ControlType.Text|TextBlock|›|692,491,6,17
      ControlType.Button|Button|Подключить|302,549,420,41
      ControlType.Button|Button|Расширенные настройки|302,604,420,55
        ControlType.Text|TextBlock|Расширенные настройки|317,617,352,15
        ControlType.Text|TextBlock|Серверы · Подписки · Zapret · Telegram-прокси · Публичные|317,635,352,11
        ControlType.Text|TextBlock|›|690,621,6,19
